Year,Course,Age,score,sleep,round_1_score,round_2_score,round_3_score,round_4_score,round_5_score,round_6_score,round_7_score,round_8_score,round_9_score,round_10_score,round_11_score,round_12_score,round_1_time,round_2_time,round_3_time,round_4_time,round_5_time,round_6_time,round_7_time,round_8_time,round_9_time,round_10_time,round_11_time,round_12_time,treatment,treatment1,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,shape,size,color,shape.lm,size.lm,color.lm,Sex,Sex.lm,Lenses,Lenses.lm,avg_score,avg_time,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,avg,log_avg
3rd,BS Statistics,22,12,3,4,5,6,7,8,7,10,11,12,10,11,12,6603,3727,9448,13799,26295,57288,102175,119296,132056,78999,64544,148240,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,9.491228070175438,78.9224649122807,0.6057852491291837,1.3415615776764154,0.6350550381033023,0.5072831364591637,0.30424034987640236,0.12218963831867058,0.09787129924149743,0.09220761802575107,0.09087053977100625,0.12658388080861782,0.17042637580565195,0.08094981111710739,0.24872930490447462,-1.3913901027683655
4th,BS Statistics,22,15,7,4,5,6,7,8,9,10,11,7,13,14,15,2108,1577,2791,7376,2992,16857,31511,31240,34841,43616,39535,104817,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,10.228070175438596,35.35034210526316,1.8975332068311195,3.170577045022194,2.149767108563239,0.9490238611713666,2.6737967914438503,0.5339028296849974,0.31734949700104725,0.352112676056338,0.20091271777503517,0.29805575935436535,0.35411660553939545,0.14310655714244827,0.7861134233066303,-0.2406541925024561
4th,BS Statistics,21,15,6,4,5,6,7,8,9,10,11,10,8,7,15,4903,2936,3015,3817,4640,14167,34872,21096,39295,66640,96193,84039,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,9.114035087719298,41.83900877192983,0.8158270446665307,1.7029972752043596,1.9900497512437811,1.8339009693476551,1.7241379310344827,0.6352791699018847,0.28676301904106444,0.521425862722791,0.2544853034737244,0.12004801920768307,0.0727703679061886,0.1784885588833756,0.6401788765847387,-0.4460076470161225
2nd,BS Statistics,20,13,4,4,5,6,7,8,7,10,11,4,13,9,3,2473,1880,2080,1928,3105,5585,18199,12455,26295,56985,58425,102255,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,No,0,7.56140350877193,33.74989473684211,1.6174686615446825,2.6595744680851063,2.8846153846153846,3.6307053941908713,2.576489533011272,1.2533572068039391,0.5494807407000385,0.8831794460056203,0.15212017493820118,0.22813020970430814,0.1540436456996149,0.029338418659234266,1.0261413301501583,0.025805485946463733
1st,BS Computer Engineering,19,8,6,4,5,6,7,8,7,8,9,9,6,5,9,1979,2119,1337,2488,4247,6280,15526,22127,9478,89479,64575,57848,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,7.219298245614035,31.419605263157894,2.02122283981809,2.359603586597452,4.487658937920718,2.8135048231511255,1.8836825994819872,1.1146496815286624,0.5152647172484864,0.406742893297781,0.9495674192867694,0.06705483968305412,0.07742934572202866,0.15558014105932788,1.0255768290660998,0.025255214364797468
3rd,BS Statistics,20,12,9,4,5,6,7,8,5,7,7,12,11,12,13,6507,5560,5239,5263,8352,41671,110736,87953,151080,154161,164672,243706,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,No,0,9.052631578947368,108.91975438596492,0.6147226064238512,0.8992805755395683,1.1452567283832793,1.3300399011970359,0.9578544061302682,0.11998752129778503,0.06321340846698453,0.07958796175229953,0.07942811755361398,0.07135397409202068,0.07287213369607462,0.05334296242193463,0.32533799095309845,-1.1228906648854375
1st,BS Statistics,19,14,2,4,5,6,7,8,9,6,4,4,13,14,0,2785,4703,5432,6384,10927,23176,66568,35800,56440,88352,182225,36560,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,No,0,6.912280701754386,56.07737719298246,1.436265709156194,1.06315118009781,1.1045655375552283,1.0964912280701755,0.7321314175894573,0.3883327580255437,0.09013339742819372,0.11173184357541899,0.07087172218284904,0.14713871785584934,0.07682809713266565,0,0.3568854239795708,-1.0303404899488529
3rd,BS Statistics,23,10,3.5,4,5,6,7,8,6,10,7,8,10,9,2,6912,8496,25192,8784,10111,32736,106119,93040,58792,51744,125496,81895,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,7.043859649122807,62.33732456140351,0.5787037037037037,0.588512241054614,0.2381708478882185,0.7969034608378871,0.7912174859064385,0.18328445747800587,0.09423383183030372,0.07523645743766122,0.13607293509320997,0.1932591218305504,0.0717154331612163,0.02442151535502778,0.2414872569074684,-1.420938573710409
2nd,BS Statistics,20,8,4.5,4,5,6,7,8,7,8,4,7,9,6,7,8570,13968,6448,3224,9520,29271,49056,32311,25985,22671,41176,31839,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,6.728070175438597,26.417087719298245,0.46674445740956827,0.3579610538373425,0.9305210918114144,2.1712158808933,0.8403361344537815,0.23914454579618052,0.16307893020221786,0.12379684937018352,0.2693861843371176,0.39698292973402144,0.14571595103944046,0.21985615126103206,0.4389231871130876,-0.8234308536239686
4th,BS Statistics,NA,10,5,4,5,6,7,8,4,10,4,8,11,4,4,8370,4201,4513,4905,13304,31103,72121,44680,40385,73672,13639,35904,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,6.359649122807017,34.094815789473685,0.4778972520908005,1.19019281123542,1.3294925769997785,1.4271151885830784,0.6013229104028863,0.12860495772112016,0.1386558699962563,0.08952551477170993,0.19809335149189056,0.14931045716147248,0.29327663318425107,0.11140819964349376,0.38827924677209485,-0.9460304900490926
3rd,BS Statistics,23,15,5,4,5,6,5,8,2,10,11,12,11,14,15,2562,1944,2928,4392,6808,23520,61952,26320,65272,104952,108591,214360,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,No,0,9.850877192982455,71.28752631578948,1.56128024980484,2.57201646090535,2.0491803278688523,1.138433515482696,1.1750881316098707,0.08503401360544217,0.16141528925619836,0.41793313069908816,0.1838460595661233,0.1048098178214803,0.12892412815058338,0.06997574174286247,0.5453509004529985,-0.6063258374617811
4th,BS Statistics,22,14,6,4,5,6,7,8,9,8,7,4,4,14,9,2574,2335,2303,2969,4488,8399,26464,19505,49393,43872,134423,67591,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,7.535087719298246,41.281587719298244,1.554001554001554,2.1413276231263385,2.605297438124186,2.357696194004715,1.7825311942959001,1.0715561376354328,0.3022974607013301,0.3588823378620866,0.08098313526208167,0.09117432530999271,0.10414884357587616,0.13315382225444217,0.7504008107987031,-0.28714780080202895
3rd,BS Statistics,23,10,8,4,5,6,7,6,5,10,9,5,9,7,11,3820,2455,2808,2479,7784,10160,30112,39368,34503,47857,75271,119848,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,No,0,7.526315789473684,42.43269298245614,1.0471204188481675,2.0366598778004072,2.1367521367521367,2.8237192416296892,0.7708119218910586,0.4921259842519685,0.33209351753453775,0.2286120707173339,0.1449149349331942,0.18806026286645633,0.09299730307821073,0.09178292503838195,0.6162464431410573,-0.48410832542111143
2nd,BS FLCD,20,11,8,2,5,6,7,6,5,3,11,5,7,3,2,4399,5999,8326,5088,9095,11391,15871,20072,14473,15952,57985,6719,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,5.131578947368421,17.382201754385967,0.4546487838145033,0.833472245374229,0.720634158059092,1.3757861635220126,0.6597031335898845,0.43894302519532963,0.1890240060487682,0.5480271024312475,0.3454708768050853,0.43881644934804415,0.05173751832370441,0.2976633427593392,0.4572496026224017,-0.78252586077135
3rd,BS Statistics,22,13,8,4,5,4,7,8,7,5,7,12,13,10,6,7249,3479,2249,11248,11569,9176,28663,22671,20015,46431,67768,86831,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,No,0,7.991228070175438,34.60322807017543,0.5518002483101118,1.4371945961483186,1.778568252556692,0.6223328591749644,0.6915031549831446,0.7628596338273758,0.17444091686145902,0.3087645009042389,0.5995503372470647,0.2799853546122203,0.1475622712784795,0.06909974548260414,0.49031820845158874,-0.7127006936464054
2nd year,BS Statistics,19,11,9,4,5,6,7,8,9,8,11,10,6,6,7,5094,4463,4656,4359,8496,19200,38529,37272,48033,46721,40096,26481,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,No,0,7.535087719298246,28.767701754385964,0.7852375343541421,1.1203226529240422,1.288659793814433,1.605872906629961,0.9416195856873822,0.46875,0.20763580679488178,0.2951277098089719,0.2081902025690671,0.12842190877763746,0.14964086193136472,0.26434047052603754,0.48261358282936345,-0.728538981078769
3rd,BS Statistics,20,8,4.5,4,5,6,7,8,3,8,5,8,4,8,4,6091,3217,4369,5607,6017,27047,59015,132056,80823,71672,60824,89864,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,No,0,5.894736842105263,57.38021929824561,0.6567066163191594,1.554243083618278,1.373311970702678,1.2484394506866416,1.329566229017783,0.11091803157466631,0.13555875624841143,0.037862724904585934,0.09898172549892977,0.055809800200915284,0.1315270288044193,0.04451170657883023,0.3965458037340595,-0.9249637244428297
3rd,BS Statistics,21,13,5,4,5,4,7,8,5,10,11,12,13,9,12,3529,2641,2208,4001,6305,18368,77346,42864,70433,62417,161528,183113,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,9.324561403508772,71.87715789473684,1.1334655709832815,1.8932222642938281,1.8115942028985508,1.749562609347663,1.26883425852498,0.272212543554007,0.1292891681534921,0.2566256065696155,0.17037468232220693,0.208276591313264,0.05571789411123768,0.0655333045714941,0.5293682400287936,-0.636070983378639
4th,BS Statistics,22,8,4,4,0,6,7,8,7,6,4,8,3,3,4,4600,5896,4591,4880,9879,15168,31456,23183,62976,79368,96560,213112,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,No,0,4.991228070175438,63.427359649122806,0.8695652173913043,0,1.306904813766064,1.4344262295081966,0.8097985626075513,0.46149789029535865,0.19074262461851474,0.17254022343958936,0.12703252032520326,0.03779860901118839,0.03106876553438277,0.0187694733285784,0.3379841101290892,-1.08475639605659
4th Year,BS Statistics,23,8,6,4,5,6,7,8,2,3,3,10,3,7,5,4949,5200,9952,6928,12511,33200,39833,37976,34815,108665,17552,87440,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,No,0,5.2894736842105265,41.7255350877193,0.808244089715094,0.9615384615384616,0.6028938906752411,1.010392609699769,0.6394372951802414,0.060240963855421686,0.075314437777722,0.07899726142827049,0.28723251472066635,0.027607785395481525,0.39881494986326343,0.05718206770356816,0.3180473093733325,-1.1455551356531062
2nd,BS Statistics,23,9,6,4,5,6,7,8,9,7,6,9,10,7,7,1994,2568,2590,6473,5055,9337,21647,18216,37311,34111,29209,36208,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,7.43859649122807,21.633394736842106,2.0060180541624875,1.9470404984423677,2.3166023166023164,1.0814151089139503,1.5825914935707222,0.9639070365213666,0.3233704439414238,0.32938076416337286,0.2412157272654177,0.2931605640409252,0.2396521620048615,0.19332744144940345,0.7051078986216571,-0.3494044401901775
1st,BS Statistics,19,7,6,4,5,6,7,6,4,4,4,7,10,2,2,1473,1585,1929,2633,3537,8424,24048,24624,23727,48752,62808,54984,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,4.964912280701754,28.788157894736845,2.7155465037338766,3.1545741324921135,3.1104199066874028,2.658564375237372,1.6963528413910094,0.4748338081671415,0.16633399866932802,0.16244314489928524,0.2950225481518945,0.2051197899573351,0.03184307731499172,0.03637421795431398,0.8105290572666013,-0.2100680874106664
2nd,BS Statistics,21,15,4,4,5,6,7,8,7,10,11,12,13,14,15,9777,1872,3064,3119,3792,13296,49336,54767,52480,89344,80335,202111,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,10.596491228070175,63.87779824561404,0.40912345300194336,2.6709401709401708,1.95822454308094,2.2443090734209683,2.109704641350211,0.52647412755716,0.20269174639208692,0.20085087735315063,0.22865853658536586,0.14550501432664756,0.17427024335594699,0.07421664332965548,0.6709770834645754,-0.39902029540354844
2nd,BS Statistics,20,9,7,4,5,6,7,8,9,7,9,5,4,8,6,2042,3783,3431,2992,11104,11848,17680,18984,15136,38697,56296,64913,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,6.614035087719298,27.15993859649123,1.9588638589618022,1.3217023526301876,1.7487612940833577,2.339572192513369,0.7204610951008645,0.7596218771100608,0.39592760180995473,0.4740834386852086,0.33033826638477803,0.10336718608677675,0.14210601108426887,0.09243140819250381,0.6295772605556047,-0.4627066998189828
2nd,BS Statistics,19,13,7,4,5,6,7,6,9,8,11,10,13,6,7,3777,4447,5704,5087,11255,28496,36808,37689,40662,61344,67663,38648,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,8.192982456140351,35.51541228070175,1.0590415673815197,1.124353496739375,1.0518934081346423,1.3760566149007274,0.5330964015992892,0.3158338012352611,0.21734405564007825,0.29186234710392955,0.24592986080369877,0.21191966614501825,0.08867475577494346,0.18112192092734425,0.4206779095533383,-0.8658877985512271
4th,BS Statistics,22,7,5,4,5,6,7,5,6,6,5,4,5,6,6,4323,3184,2352,2416,4352,12400,24128,13984,17273,38633,34599,46520,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,5.456140350877193,21.907429824561405,0.9252833680314596,1.57035175879397,2.5510204081632653,2.8973509933774833,1.1488970588235294,0.4838709677419355,0.2486737400530504,0.35755148741418763,0.2315752909164592,0.12942303212279657,0.17341541663053844,0.1289767841788478,0.6660540448699473,-0.40638446328073113
3rd,BS Statistics,19,10,9,4,5,6,7,8,5,10,5,8,5,5,4,3482,1944,1656,2872,3287,4727,7161,11985,16607,17687,14879,24784,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,5.973684210526316,11.712745614035088,1.1487650775416427,2.57201646090535,3.6231884057971016,2.437325905292479,2.433830240340736,1.0577533319229955,1.396453009356235,0.4171881518564873,0.4817245739748299,0.2826935037032849,0.33604408898447474,0.16139444803098774,1.055972109321298,0.05446177330771777
1st,BS Statistics,19,12,6,4,5,6,7,8,6,7,7,12,11,9,10,3457,3519,4712,6015,9374,11760,30152,41616,49183,41128,95361,59905,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,Yes,1,8.368421052631579,38.60014912280702,1.1570726063060457,1.4208581983518045,1.2733446519524618,1.1637572734829593,0.8534243652656284,0.5102040816326531,0.2321570708410719,0.16820453671664745,0.24398674338694265,0.26745769305582573,0.0943782049265423,0.16693097404223353,0.46789520107162785,-0.7595109374745357
4th,BS Statistics,23,8,5,4,5,6,7,8,7,8,5,6,10,7,4,2027,3207,2367,2832,4544,7168,9888,10735,37664,35311,59135,61423,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,Yes,1,6.56140350877193,26.633719298245616,1.973359644795264,1.5590894917368257,2.534854245880862,2.4717514124293785,1.7605633802816902,0.9765625,0.8090614886731392,0.4657661853749418,0.159303313508921,0.28319787035201494,0.11837321383275556,0.0651221855005454,0.811536436150134,-0.20882599328174692
4th,BS Statistics,23,15,7,4,5,4,7,8,5,5,9,10,13,14,15,1482,2560,3880,5889,10303,14544,50335,74783,89240,127880,142096,148529,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,Yes,1,9.491228070175438,75.20274561403508,2.699055330634278,1.953125,1.0309278350515463,1.1886568177958907,0.7764728719790353,0.34378437843784376,0.09933445912387007,0.1203482074803097,0.11205737337516809,0.10165780419142946,0.09852494088503547,0.10099037898322887,0.4583462553056328,-0.7801303645528934
3rd,BS Statistics,20,9,3,4,5,6,4,8,9,7,4,5,2,4,7,4292,3728,3432,6551,5878,24913,70543,38232,35649,28438,37128,58433,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,Yes,1,5.359649122807017,32.39692105263158,0.9319664492078286,1.3412017167381973,1.7482517482517483,0.6105938024729048,1.3610071452875128,0.36125717496889176,0.0992302567228499,0.10462439840970915,0.14025638867850432,0.07032843378577959,0.10773540185304892,0.11979532113702873,0.41563733263556013,-0.8779421955056277
2nd,BS Statistics,20,14,5,4,5,6,7,8,9,10,11,12,13,14,11,2180,3377,1872,2527,4248,12270,37152,103193,91527,87599,88928,112591,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,No,0,10.228070175438596,60.32062280701754,1.834862385321101,1.4806040864672787,3.2051282051282053,2.770083102493075,1.8832391713747645,0.7334963325183375,0.26916451335055985,0.10659637766127547,0.1311088531253073,0.14840352058813458,0.1574307304785894,0.09769875034416606,0.7549778075464606,-0.2810669241433217
4th,BS Statistics,23,10,6,4,5,6,7,8,9,10,9,8,11,6,6,5073,4785,4528,11617,4904,32625,63456,52814,75919,35233,45057,65552,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,No,0,7.745614035087719,41.08956140350877,0.7884880741178789,1.044932079414838,1.325088339222615,0.6025652061633813,1.6313213703099512,0.27586206896551724,0.15758951084215836,0.1704093611542394,0.10537546595713852,0.3122073056509522,0.13316465809974032,0.09153038808884549,0.4218534073332424,-0.8630974012827172
4th,BS Statistics,24,12,8,4,5,6,7,8,9,8,11,12,11,11,12,3498,6128,5959,12951,18455,34681,53888,47111,66158,73559,60304,85031,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,Yes,1,9.587719298245615,48.752605263157896,1.1435105774728416,0.8159268929503917,1.0068803490518543,0.5404988031812216,0.4334868599295584,0.2595080880020761,0.14845605700712589,0.2334911167243319,0.1813839596118383,0.14953982517434986,0.18240912708941365,0.1411250014700521,0.32566762333884425,-1.1218779780308854
4th,BS Statistics,22,12,6,4,5,6,5,8,9,6,7,12,5,8,4,11944,7984,6863,9817,9393,31696,50672,40415,40313,51751,104592,81632,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,Yes,1,6.798245614035087,46.96993859649123,0.33489618218352313,0.62625250501002,0.8742532420224391,0.5093205663644698,0.8516980730331097,0.2839475012619889,0.11840858856962425,0.17320301868118274,0.2976707265646318,0.09661649050259899,0.07648768548263729,0.04900039200313602,0.28398191604732875,-1.258844718738014
3rd,B LIS,NA,13,8,4,5,6,7,6,7,10,9,6,13,10,9,2326,3384,2712,5055,5855,11680,11031,22440,24721,30030,50689,43152,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,No,0,8.350877192982455,23.078587719298245,1.7196904557179709,1.4775413711583925,2.2123893805309733,1.3847675568743818,1.0247651579846284,0.5993150684931506,0.9065361254645997,0.40106951871657753,0.24270862829173578,0.4329004329004329,0.1972814614610665,0.20856507230255839,0.6906481264299462,-0.3701248086032645
2nd,BS Statistics,21,8,8,4,5,6,7,8,3,8,9,5,7,7,3,5313,4160,4888,8048,7968,10071,47223,35864,36392,28409,23344,6192,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,Yes,1,6.052631578947368,20.829385964912284,0.7528703180877094,1.2019230769230769,1.227495908346972,0.8697813121272365,1.0040160642570282,0.2978850163836759,0.169408974440421,0.2509480258755298,0.13739283358979995,0.24640078848252314,0.2998629198080877,0.4844961240310077,0.4733298243299281,-0.7479628304698954
2nd,BS Statistics,20,13,4,4,5,6,7,8,9,10,11,12,13,12,10,7912,7201,8240,13856,10921,22202,56240,67358,56241,80407,137159,60032,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,No,0,9.850877192982455,55.66226315789474,0.5055611729019212,0.6943480072212193,0.7281553398058253,0.5051963048498845,0.732533650764582,0.40536888568597423,0.17780938833570412,0.16330651147599395,0.21336747212887394,0.16167746589227305,0.08748970173302517,0.1665778251599147,0.30586039922095115,-1.1846264928222114
2nd,BS Statistics,20,15,8,4,5,6,7,8,5,6,11,12,13,6,15,7435,3872,3695,4903,10447,16944,24415,57007,69625,62553,85792,108615,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,No,0,9.105263157894736,49.928877192982455,0.5379959650302623,1.2913223140495869,1.6238159675236807,1.4276973281664287,0.7657700775342203,0.29508970727101036,0.24575056317837396,0.1929587594505938,0.17235188509874327,0.20782376544690104,0.06993659082431929,0.1381024720342494,0.4344559072647196,-0.8336608186787172
4th,BS Statistics,22,14,4,4,5,6,7,5,9,10,11,12,13,14,13,7322,5769,7328,9713,10494,13808,31975,79144,94192,116695,87896,92608,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,No,0,10.280701754385966,59.961868421052635,0.5462988254575253,0.8667013347200555,0.8187772925764192,0.7206836198908679,0.476462740613684,0.6517960602549246,0.3127443315089914,0.13898716264025068,0.12739935450993714,0.11140151677449762,0.1592791480840994,0.1403766413268832,0.334411309708156,-1.0953835774459084
3rd,BS Statistics,20,14,7,4,5,6,7,8,9,10,9,12,13,14,11,2539,2888,4480,5536,8384,26911,30272,40304,56249,44185,97423,85135,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,No,0,10.035087719298245,44.174587719298245,1.5754233950374164,1.7313019390581716,1.3392857142857142,1.2644508670520231,0.9541984732824428,0.33443573260005205,0.33033826638477803,0.22330289797538705,0.213337125993351,0.2942174946248727,0.14370323229627502,0.12920655429611794,0.5138869654420105,-0.6657519493024908
3rd year,BS Statistics,22,9,5,4,5,6,7,6,9,8,7,7,2,6,3,2697,3783,2945,3208,3527,21104,21239,52593,36959,29969,122904,38377,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,No,0,5.7105263157894735,36.915,1.4831294030404152,1.3217023526301876,2.037351443123939,2.1820448877805485,1.7011624610150269,0.42645943896891586,0.37666556805875984,0.1330975605118552,0.1893990638274845,0.06673562681437485,0.04881859011911736,0.07817182166401751,0.5939825020589748,-0.5209054178665556
4th,BS Statistics,23,11,8,4,5,6,7,6,9,10,11,9,5,2,4,2585,1425,1712,3633,3888,5617,16369,42776,45480,130631,38872,42615,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,Yes,1,6.464912280701754,36.810938596491226,1.5473887814313345,3.508771929824561,3.5046728971962615,1.9267822736030829,1.5432098765432098,1.602278796510593,0.6109108681043436,0.2571535440433888,0.19788918205804748,0.0382757538409719,0.05145091582630171,0.09386366302944972,0.8680126023802474,-0.14154904555593195
1st,BS Statistics,20,9,6,4,5,6,5,8,9,4,9,7,7,8,1,3130,2569,2071,3294,4759,4920,5625,12751,14431,16585,22175,2177,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,Yes,1,6.12280701754386,9.399947368421053,1.2779552715654952,1.9462826002335538,2.897151134717528,1.5179113539769278,1.681025425509561,1.829268292682927,0.7111111111111111,0.7058269939612579,0.4850668699327836,0.42206813385589387,0.36076662908680945,0.4593477262287552,0.9726928362846304,-0.027686933907553817
1st,BS Statistics,18,9,6,4,5,4,7,8,9,5,9,6,7,4,6,2129,2600,3551,4632,10175,11264,17248,23680,24231,33560,25503,45177,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,No,0,6.2894736842105265,21.515184210526318,1.8788163457022076,1.9230769230769231,1.1264432554210082,1.5112262521588946,0.7862407862407862,0.7990056818181818,0.2898886827458256,0.38006756756756754,0.2476166893648632,0.20858164481525626,0.1568442928282947,0.13281094362175444,0.5692933921203711,-0.5633593501179835
1st,BS Statistics,20,10,3,4,5,6,7,8,7,10,8,7,8,5,10,3778,2249,3729,3112,5561,17072,18560,30216,10079,41984,42031,43184,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,No,0,7.447368421052632,23.592640350877193,1.0587612493382743,2.223210315695865,1.6090104585679808,2.2493573264781492,1.4385901816220104,0.41002811621368324,0.5387931034482759,0.2647603918453799,0.6945133445778351,0.19054878048780488,0.11895981537436653,0.23156724712856613,0.7035102706992423,-0.3516728031039266
1st,BS Statistics,20,8,8,4,5,6,7,8,6,5,9,6,6,7,8,2282,4328,3832,14968,11792,28592,32776,36537,51728,11783,40783,8720,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,Yes,1,6.675438596491228,23.820561403508773,1.7528483786152498,1.155268022181146,1.5657620041753653,0.46766435061464456,0.6784260515603799,0.2098489087856743,0.1525506468147425,0.24632564249938418,0.11599133931333128,0.5092081812781125,0.1716401441777211,0.9174311926605505,0.5366940839358595,-0.6223270228974482
3rd,BS Statistics,21,14,7,2,5,6,7,8,9,6,8,12,13,14,1,2041,1872,1672,2640,1897,2936,20992,49479,70128,48145,110935,59944,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,No,0,8.201754385964913,41.767508771929826,0.9799118079372856,2.6709401709401708,3.588516746411483,2.6515151515151514,4.217185028993147,3.0653950953678475,0.2858231707317073,0.1616847551486489,0.17111567419575632,0.2700176550005193,0.12620002704286293,0.016682236754304018,1.1483290023245916,0.13830784422981196
3rd,BS Statistics,22,12,4,4,5,6,7,8,7,10,7,12,10,7,5,4190,2856,4351,5647,5695,15632,42176,31728,30727,58583,34295,68936,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Female,0,Yes,1,7.692982456140351,32.440035087719295,0.954653937947494,1.7507002801120448,1.378993334865548,1.2395962457942271,1.404741000877963,0.44779938587512796,0.23710166919575112,0.22062531517902167,0.39053601067465094,0.17069798405680828,0.20411138649948973,0.07253104328652664,0.5301780658074978,-0.6345423556406402
4th,B Public Administration,22,10,6,4,5,6,7,8,7,10,9,10,8,7,10,3642,5905,6809,8160,9168,14183,40655,26248,43536,76112,135167,94504,4,0,0,1,0,0,0,0,square,large,static,0,1,1,Male,1,No,0,8.105263157894736,51.40457894736842,1.098297638660077,0.8467400508044031,0.8811866647084741,0.8578431372549019,0.8726003490401396,0.49354861453853205,0.24597220514081908,0.34288326729655594,0.2296949650863653,0.10510826150935464,0.05178778843948597,0.10581562685177347,0.3860359780186236,-0.9518247065587032
